IdZone;IdCP;Code Postal;Commune;Actif
293;32998;13100;BEAURECUEIL;1
293;32997;13100;AIX-EN-PROVENCE;1
293;32996;13090;AIX-EN-PROVENCE;1
293;32995;13080;AIX-EN-PROVENCE;1
293;32994;13016;MARSEILLE-16E--ARRONDISSEMENT;1
293;32993;13015;MARSEILLE-15E--ARRONDISSEMENT;1
293;32992;13014;MARSEILLE-14E--ARRONDISSEMENT;1
293;32991;13013;MARSEILLE-13E--ARRONDISSEMENT;1
293;32990;13012;MARSEILLE-12E--ARRONDISSEMENT;0
293;32989;13011;MARSEILLE-11E--ARRONDISSEMENT;0
293;32988;13010;MARSEILLE-10E--ARRONDISSEMENT;0
293;32987;13009;MARSEILLE--9E--ARRONDISSEMENT;0
293;32986;13008;MARSEILLE--8E--ARRONDISSEMENT;0
293;32985;13007;MARSEILLE--7E--ARRONDISSEMENT;0
293;32984;13006;MARSEILLE--6E--ARRONDISSEMENT;0
293;32983;13005;MARSEILLE--5E--ARRONDISSEMENT;0
293;32982;13004;MARSEILLE--4E--ARRONDISSEMENT;0
293;32981;13003;MARSEILLE--3E--ARRONDISSEMENT;0
293;32980;13002;MARSEILLE--2E--ARRONDISSEMENT;0
293;32979;13001;MARSEILLE--1ER-ARRONDISSEMENT;0
293;32949;13520;LES BAUX-DE-PROVENCE;0
293;32948;13510;EGUILLES;1
293;32947;13500;MARTIGUES;1
293;32946;13490;JOUQUES;1
293;32944;13480;CABRIES;1
293;32943;13470;CARNOUX-EN-PROVENCE;1
293;32942;13460;SAINTES-MARIES-DE-LA-MER;0
293;32941;13450;GRANS;0
293;32940;13440;CABANNES;0
293;32939;13430;EYGUIERES;0
293;32938;13420;GEMENOS;1
293;32937;13410;LAMBESC;1
293;32936;13400;AUBAGNE;1
293;32935;13390;AURIOL;1
293;5867;84360;LAURIS;0
293;5866;84350;COURTHEZON;0
293;5865;84340;MALAUCENE;0
293;5864;84340;ENTRECHAUX;0
293;5863;84340;BEAUMONT-DU-VENTOUX;0
293;5862;84330;SAINT-PIERRE-DE-VASSOLS;0
293;5861;84330;SAINT-HIPPOLYTE-LE-GRAVEYRON;0
293;5860;84330;MODENE;0
293;5859;84330;LE BARROUX;0
293;5858;84330;CAROMB;0
293;5857;84320;ENTRAIGUES-SUR-LA-SORGUE;0
293;5856;84310;MORIERES-LES-AVIGNON;0
293;5855;84300;TAILLADES;0
293;5854;84300;CAVAILLON;0
293;5853;84290;SAINTE-CECILE-LES-VIGNES;0
293;5852;84290;SAINT-ROMAN-DE-MALEGARDE;0
293;5851;84290;LAGARDE-PAREOL;0
293;5850;84290;CAIRANNE;0
293;5849;84270;VEDENE;0
293;5848;84260;SARRIANS;0
293;5847;84250;LE THOR;0
293;5846;84240;VITROLLES-EN-LUBERON;0
293;5845;84240;SANNES;0
293;5844;84240;PEYPIN-D'AIGUES;0
293;5843;84240;LA TOUR-D'AIGUES;0
293;5842;84240;LA MOTTE-D'AIGUES;0
293;5841;84240;LA BASTIDE-DES-JOURDANS;0
293;5840;84240;GRAMBOIS;0
293;5839;84240;CABRIERES-D'AIGUES;0
293;5838;84240;ANSOUIS;0
293;5837;84230;CHATEAUNEUF-DU-PAPE;0
293;5836;84220;SAINT-PANTALEON;0
293;5798;84750;CASENEUVE;0
293;32932;13360;ROQUEVAIRE;1
293;32934;13380;PLAN-DE-CUQUES;1
293;32927;13320;BOUC-BEL-AIR;1
293;32929;13330;PELISSANNE;1
293;32829;13520;PARADOU;0
293;32830;13530;TRETS;1
293;32833;13560;SENAS;1
293;32842;13630;EYRAGUES;0
293;32843;13640;LA ROQUE-D'ANTHERON;0
293;32844;13650;MEYRARGUES;1
293;32845;13660;ORGON;0
293;32847;13670;SAINT-ANDIOL;0
293;32851;13700;MARIGNANE;1
293;32853;13710;FUVEAU;1
293;32855;13720;LA BOUILLADISSE;1
293;32864;13790;CHATEAUNEUF-LE-ROUGE;1
293;32869;13820;ENSUES-LA-REDONNE;1
293;32870;13821;LA PENNE-SUR-HUVEAUNE;1
293;32871;13830;ROQUEFORT-LA-BEDOULE;1
293;32877;13890;MOURIES;0
293;32880;13910;MAILLANE;0
293;32882;13930;AUREILLE;0
293;32889;13114;PUYLOUBIER;1
293;32890;13115;SAINT-PAUL-LES-DURANCE;0
293;32891;13116;VERNEGUES;0
293;32894;13119;SAINT-SAVOURNIN;1
293;32895;13120;GARDANNE;1
293;32896;13121;AURONS;0
293;32897;13122;VENTABREN;1
293;32899;13124;PEYPIN;1
293;32900;13126;VAUVENARGUES;1
293;32901;13127;VITROLLES;1
293;32904;13130;BERRE-L'ETANG;1
293;32905;13140;MIRAMAS;0
293;32906;13150;BOULBON;0
293;32919;13250;CORNILLON-CONFOUX;1
293;32920;13250;SAINT-CHAMAS;1
293;32931;13350;CHARLEVAL;0
293;5954;84210;VENASQUE;0
293;5953;84210;SAINT-DIDIER;0
293;5952;84210;PERNES-LES-FONTAINES;0
293;5951;84210;LE BEAUCET;0
293;5950;84210;LA ROQUE-SUR-PERNES;0
293;5949;84210;ALTHEN-DES-PALUDS;0
293;5948;84200;CARPENTRAS;0
293;5947;84190;VACQUEYRAS;0
293;5946;84190;SUZETTE;0
293;5945;84190;LAFARE;0
293;5944;84190;LA ROQUE-ALRIC;0
293;5943;84190;GIGONDAS;0
293;5942;84190;BEAUMES-DE-VENISE;0
293;5941;84170;MONTEUX;0
293;5940;84160;VAUGINES;0
293;5939;84160;PUYVERT;0
293;5938;84160;LOURMARIN;0
293;5937;84160;CUCURON;0
293;5936;84160;CADENET;0
293;5935;84150;VIOLES;0
293;5934;84150;JONQUIERES;0
293;5932;84130;LE PONTET;0
293;5931;84120;PERTUIS;1
293;5930;84120;MIRABEAU;1
293;5929;84120;LA BASTIDONNE;1
293;5928;84120;BEAUMONT-DE-PERTUIS;1
293;5927;84110;VILLEDIEU;0
293;5926;84110;VAISON-LA-ROMAINE;0
293;5925;84110;SEGURET;0
293;5924;84110;SAINT-ROMAIN-EN-VIENNOIS;0
293;5923;84110;SAINT-MARCELLIN-LES-VAISON;0
293;5922;84110;SABLET;0
293;5921;84110;ROAIX;0
293;5920;84110;RASTEAU;0
293;5919;84110;PUYMERAS;0
293;5918;84110;FAUCON;0
293;5917;84110;CRESTET;0
293;5916;84110;BUISSON;0
293;5915;84100;UCHAUX;0
293;5914;84100;ORANGE;0
293;5913;84000;AVIGNON;0
293;5890;84410;BEDOIN;0
293;5889;84400;VILLARS;0
293;5888;84400;SIVERGUES;0
293;5887;84400;SAIGNON;0
293;5886;84400;RUSTREL;0
293;5885;84400;LAGARDE-D'APT;0
293;5884;84400;GIGNAC;0
293;5883;84400;GARGAS;0
293;5882;84400;CASTELLET;0
293;5881;84400;AURIBEAU;0
293;5880;84400;APT;0
293;5879;84390;SAVOILLAN;0
293;5878;84390;SAULT;0
293;5877;84390;SAINT-TRINIT;0
293;5876;84390;SAINT-LEGER-DU-VENTOUX;0
293;5875;84390;SAINT-CHRISTOL;0
293;5874;84390;MONIEUX;0
293;5873;84390;BRANTES;0
293;5872;84390;AUREL;0
293;5871;84380;MAZAN;0
293;5870;84370;BEDARRIDES;0
293;5869;84360;PUGET;0
293;5868;84360;MERINDOL;0
293;5835;84220;ROUSSILLON;0
293;5834;84220;MURS;0
293;5833;84220;LIOUX;0
293;5832;84220;JOUCAS;0
293;5831;84220;GOULT;0
293;5830;84220;GORDES;0
293;5829;84220;CABRIERES-D'AVIGNON;0
293;5828;84220;BEAUMETTES;0
293;5814;84870;LORIOL-DU-COMTAT;0
293;5813;84860;CADEROUSSE;0
293;5812;84850;TRAVAILLAN;0
293;5811;84850;CAMARET-SUR-AIGUES;0
293;5810;84840;LAPALUD;0
293;5809;84840;LAMOTTE-DU-RHONE;0
293;5808;84830;SERIGNAN-DU-COMTAT;0
293;5807;84820;VISAN;0
293;5806;84810;AUBIGNAN;0
293;5805;84800;SAUMANE-DE-VAUCLUSE;0
293;5804;84800;LAGNES;0
293;5803;84800;L'ISLE-SUR-LA-SORGUE;0
293;5802;84800;FONTAINE-DE-VAUCLUSE;0
293;5801;84760;SAINT-MARTIN-DE-LA-BRASQUE;0
293;5800;84750;VIENS;0
293;5799;84750;SAINT-MARTIN-DE-CASTILLON;0
293;5797;84740;VELLERON;0
293;5796;84700;SORGUES;0
293;5795;84660;MAUBEC;0
293;5794;84600;VALREAS;0
293;5793;84600;RICHERENCHES;0
293;5792;84600;GRILLON;0
293;5791;84580;OPPEDE;0
293;5790;84570;VILLES-SUR-AUZON;0
293;5789;84570;MORMOIRON;0
293;5788;84570;METHAMIS;0
293;5787;84570;MALEMORT-DU-COMTAT;0
293;5786;84570;BLAUVAC;0
293;5785;84560;MENERBES;0
293;5784;84550;MORNAS;0
293;5783;84530;VILLELAURE;0
293;5782;84510;CAUMONT-SUR-DURANCE;0
293;5781;84500;BOLLENE;0
293;5780;84490;SAINT-SATURNIN-LES-APT;0
293;5779;84480;LACOSTE;0
293;5778;84480;BUOUX;0
293;5777;84480;BONNIEUX;0
293;5776;84470;CHATEAUNEUF-DE-GADAGNE;0
293;5775;84460;CHEVAL-BLANC;0
293;5774;84450;SAINT-SATURNIN-LES-AVIGNON;0
293;5773;84450;JONQUERETTES;0
293;5772;84440;ROBION;0
293;5771;84430;MONDRAGON;0
293;5770;84420;PIOLENC;0
293;5769;84410;FLASSAN;0
293;5768;84410;CRILLON-LE-BRAVE;0
293;6003;83670;VARAGES;0
293;6002;83670;TAVERNES;0
293;6001;83670;PONTEVES;0
293;6000;83670;MONTMEYAN;0
293;5999;83670;FOX-AMPHOUX;0
293;5998;83670;CHATEAUVERT;0
293;5997;83670;BARJOLS;0
293;5996;83660;CARNOULES;0
293;5995;83640;SAINT-ZACHARIE;0
293;5994;83640;PLAN-D'AUPS-SAINTE-BAUME;0
293;5993;83630;VERIGNON;0
293;5992;83630;REGUSSE;0
293;5991;83630;MOISSAC-BELLEVUE;0
293;5990;83630;LES SALLES-SUR-VERDON;0
293;5989;83630;BAUDUEN;0
293;5988;83630;BAUDINARD-SUR-VERDON;0
